ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	AveExpr	RANGE_STRAND
7934906	7934906	0.000031993792790609	0.00000000159754975489451	78.3875146064806	11.3462355157047	1.16873315885441	ACTA2	3.02080032767155	-
8113800	8113800	0.000031993792790609	0.00000000276150281679688	70.8847327827072	11.2238101651359	0.983605146221517	FBN2	2.89828388624534	-
7935058	7935058	0.000031993792790609	0.00000000371683808259677	67.1166723596456	11.1486367213746	1.19727688555265	MYOF	2.79793296773731	-
8024111	8024111	0.000031993792790609	0.00000000461374687253004	64.5013093861881	11.0897858476175	0.787656423991379	CNN2	3.11123485666751	+
8135594	8135594	0.000031993792790609	0.00000000616627353475722	61.1510539066916	11.0050211058201	1.4606376938731	CAV1	2.93063031607396	+
7988467	7988467	0.000031993792790609	0.00000000700648314778963	59.7311940673781	10.9654981766589	1.27369671780298	FBN1	2.74886503828245	-
8089544	8089544	0.000031993792790609	0.00000000756745472078159	58.8910364525356	10.9410010328616	1.15264764975907	CCDC80	2.81510406033808	-
8120719	8120719	0.000031993792790609	0.00000000893041195464241	57.1242782254873	10.886593538997	1.35453443059901	CD109	2.56668592165988	+
8058765	8058765	0.000031993792790609	0.0000000105896959463054	55.3613365409447	10.8280759944976	1.25796173313953	FN1	2.94121173076398	-
8112139	8112139	0.000031993792790609	0.0000000110526943886717	54.9272430063919	10.8129711586178	1.47196964862805	IL6ST	2.6323748363139	-
8115327	8115327	0.000031993792790609	0.0000000123974412618798	53.779233612458	10.7716156365355	1.3611437562607	SPARC	2.98492681995276	-
7982597	7982597	0.000031993792790609	0.0000000138896189058799	52.6664219017541	10.7294756130851	0.731008493024938	THBS1	3.14871248284551	+
8089835	8089835	0.000031993792790609	0.0000000162891181100798	51.1446452174525	10.6683365211353	1.12619027692972	FSTL1	2.90960488471025	-
8016646	8016646	0.000031993792790609	0.0000000168089421077238	50.849868468293	10.6559976591688	0.76712485009585	COL1A1	3.1659960419238	-
8172043	8172043	0.000031993792790609	0.0000000173932025767529	50.531163852426	10.6424686327346	0.501285192074611	SRPX	3.1832492958472	-
8041447	8041447	0.000031993792790609	0.00000001798834789035	50.2192889811591	10.6290364234243	0.809490744963218	CRIM1	2.95992226101637	+
8138888	8138888	0.000031993792790609	0.0000000188196803648547	49.8035105439973	10.6108260076365	1.12012703427794	PDE1C	2.74943315241454	-
8090162	8090162	0.000031993792790609	0.0000000191669372691975	49.6362240436638	10.6033996799567	0.732522628455686	ITGB5	2.85342873689749	-
8136347	8136347	0.000031993792790609	0.0000000207874028836604	48.9003763533732	10.5700379727659	1.06979000745829	CALD1	2.78561088241099	+
7996819	7996819	0.0000324296779503773	0.0000000222626722437605	48.2872072169108	10.541346580119	0.727168578555291	CDH3	2.91924846710338	+
7943749	7943749	0.0000324296779503773	0.000000023077336495117	47.9688645174907	10.5261203688278	0.840387599330435	LAYN	2.88602833865668	+
7963786	7963786	0.0000354251610696048	0.00000002630499878316	46.8268909750211	10.4695641172876	1.202203078893	ITGA5	3.02766287073139	-
8072876	8072876	0.0000401202765237346	0.00000003174448913277	45.2344010833037	10.3853184602872	0.711579865416345	LGALS1	3.30682617284387	+
8154233	8154233	0.0000401202765237346	0.0000000322739763502707	45.0968570431905	10.3777307415616	0.758960105121872	CD274	2.35423300651787	+
8136918	8136918	0.0000410132222826343	0.0000000344092080951298	44.5681028605125	10.3480789024554	0.554356752832236	ZYX	3.12914686595239	+
