"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-33-6737-01A"	0	0	0	0	1.07718421218476	0
"TCGA-33-6738-01A"	0	0	0.77038649785126	0	0	0
"TCGA-33-A4WN-01A"	0	0	0	0.511393471609976	0	0
"TCGA-33-A5GW-01A"	0.551751931030703	0	0	0	0	0
"TCGA-33-AAS8-01A"	0.407969697985041	0	0	0	0	0
"TCGA-33-AASB-01A"	0	0	0	0	0	0.735081755645337
"TCGA-33-AASD-01A"	0	0	0	0	0	0.68060739181658
"TCGA-33-AASI-01A"	0	0.721287920982121	0	0	0	0
"TCGA-33-AASJ-01A"	0	0.425048065942659	0	0	0	0
"TCGA-33-AASL-01A"	0	0	0.703968568115134	0	0	0
"TCGA-34-2596-01A"	0.678451870399145	0	0	0	0	0
"TCGA-34-2600-01A"	0	0	0	0	0.558135824454829	0
"TCGA-34-2608-01A"	0	0	0	0	1.3313660700373	0
"TCGA-34-5231-01A"	0	0.554099455952008	0	0	0	0
"TCGA-34-5232-01A"	0	0	0	1.01176991658066	0	0
"TCGA-34-5234-01A"	0	0	0	1.62995876752418	0	0
"TCGA-34-5236-01A"	0	0	0	0	0	1.35259776744762
"TCGA-34-5239-01A"	1.2107848491881	0	0	0	0	0
"TCGA-34-5240-01A"	0	0	0	0	0.676711172712233	0
"TCGA-34-5241-01A"	0	0	0	1.30283917341524	0	0
"TCGA-34-5927-01A"	0	0.453470846707494	0	0	0	0
"TCGA-34-5928-01A"	0	0	1.62043094614563	0	0	0
"TCGA-34-5929-01A"	0	0.793323046793223	0	0	0	0
"TCGA-34-7107-11A"	0	0	0	0	2.53211087845785	0
"TCGA-34-7107-01A"	0.744344727741235	0	0	0	0	0
"TCGA-34-8454-11A"	0	0	0	0	1.36102871417512	0
"TCGA-34-8454-01A"	0	0	0	1.16621182477496	0	0
"TCGA-34-8455-01A"	0	0	1.00974911815125	0	0	0
"TCGA-34-8456-01A"	0	0.518978346506878	0	0	0	0
"TCGA-34-A5IX-01A"	0	0	0	1.05248621459221	0	0
"TCGA-37-3783-01A"	0	0	0	1.8061416971834	0	0
"TCGA-37-3789-01A"	0	0	0	1.51481394375416	0	0
"TCGA-37-3792-01A"	0	0	0	2.07378988262219	0	0
"TCGA-37-4129-01A"	0	0.349554906164432	0	0	0	0
"TCGA-37-4130-01A"	0	0	1.34329448642524	0	0	0
"TCGA-37-4132-01A"	0.937688762966014	0	0	0	0	0
"TCGA-37-4133-01A"	0	0	0	0	0.807746565103586	0
"TCGA-37-4135-01A"	0	0	0	0.6849889669973	0	0
"TCGA-37-4141-01A"	0.690389889894684	0	0	0	0	0
"TCGA-37-5819-01A"	0.548544251691085	0	0	0	0	0
"TCGA-37-A5EL-01A"	0	0	0.580396987890795	0	0	0
"TCGA-37-A5EM-01A"	0	0	0	0	0	1.009445293649
"TCGA-37-A5EN-01A"	0	0.385859716982477	0	0	0	0
"TCGA-39-5011-01A"	1.25838704753411	0	0	0	0	0
"TCGA-39-5016-01A"	0.732778214822483	0	0	0	0	0
"TCGA-39-5019-01A"	0	0	0	0	0.895908961300059	0
"TCGA-39-5021-01A"	0	0	0	0	0.711092546614491	0
"TCGA-39-5022-01A"	1.67115532057858	0	0	0	0	0
"TCGA-39-5024-01A"	0	0	1.09725414907206	0	0	0
"TCGA-39-5027-01A"	0	0.37322998596368	0	0	0	0
"TCGA-39-5028-01A"	0	0	1.3516167383352	0	0	0
"TCGA-39-5029-01A"	0	0	0	0	0	1.07358105493221
"TCGA-39-5030-01A"	0	1.42093291521937	0	0	0	0
"TCGA-39-5031-01A"	0	0	0	0	0.877678834856498	0
"TCGA-39-5034-01A"	0	0	0.90539102759649	0	0	0
"TCGA-39-5035-01A"	1.04301852737583	0	0	0	0	0
"TCGA-39-5036-01A"	0	0	0	0	0	0.563445235300189
"TCGA-39-5037-01A"	0	0	0.359343013500525	0	0	0
"TCGA-39-5039-01A"	0	0	1.2492132105907	0	0	0
"TCGA-39-5040-11A"	0	0	0	1.54305576804754	0	0
"TCGA-39-5040-01A"	0	0	0	0.919369851665083	0	0
"TCGA-43-2576-01A"	0	0	0	0	1.37423421046627	0
"TCGA-43-2578-01A"	0	0	0	0	0.645733943177173	0
"TCGA-43-2581-01A"	0	0	0	1.97951624375282	0	0
"TCGA-43-3394-11A"	0	0	0	0	1.66309726837949	0
"TCGA-43-3394-01A"	0	0	0	0	0	0.554741841565795
"TCGA-43-3920-01A"	0	0	0	1.1556464972091	0	0
"TCGA-43-5668-01A"	0	0	0	0	1.28567623271678	0
"TCGA-43-5670-11A"	0	0	0	0	1.48119101940974	0
"TCGA-43-5670-01A"	0	0	0	1.06840827751827	0	0
"TCGA-43-6143-11A"	0	0	0	0	1.90168387469001	0
"TCGA-43-6143-01A"	0	0	0	0	0	0.628959700349929
"TCGA-43-6647-11A"	0	0	0	0	1.57561859310593	0
