genes	logFC	logCPM	F	PValue	FDR
ENSG00000135114.12	ENSG00000135114.12	2.87949061197644	4.3499764980592	283.503687195396	1.53053792010451e-63	2.05119290857029e-60
ENSG00000003400.14	ENSG00000003400.14	2.84402897461622	1.98257010812492	119.384548217243	8.89019662174431e-28	2.01560142054194e-25
ENSG00000005844.17	ENSG00000005844.17	2.83365319695443	1.58776091919413	100.680343909478	1.10432573328104e-23	1.80977381311719e-21
ENSG00000078401.6	ENSG00000078401.6	2.81829697668072	1.40628901472102	91.6517185388124	1.0521020379974e-21	1.44204931153517e-19
ENSG00000163644.14	ENSG00000163644.14	2.81505947662444	5.85844731071051	364.567020965891	3.76009434534283e-81	9.07055079115741e-78
ENSG00000103316.10	ENSG00000103316.10	2.80154235074912	-1.5366608066114	9.26312134764542	0.00233864506621138	0.0266237259863674
ENSG00000196954.12	ENSG00000196954.12	2.75281907923168	1.92648406387532	111.855012331068	3.94694805625353e-26	7.77884128681496e-24
ENSG00000133106.14	ENSG00000133106.14	2.67693261686418	0.193462760165451	42.2352130088764	8.12434026414506e-11	3.768943943462e-09
ENSG00000102962.4	ENSG00000102962.4	2.65181271037719	0.0304661274888177	37.6181811108321	8.63047655414086e-10	3.4652914782099e-08
ENSG00000142677.3	ENSG00000142677.3	2.58353425698392	1.61520843879499	89.5171403935851	3.09196037937464e-21	4.08925321402031e-19
ENSG00000109072.13	ENSG00000109072.13	2.56588908897369	-0.170116568422577	31.0356777681495	2.53867145029521e-08	8.22687790566382e-07
ENSG00000130303.12	ENSG00000130303.12	2.56279414611568	7.05396663405148	346.966185522468	2.49221476160757e-77	4.84840283364612e-74
ENSG00000108679.12	ENSG00000108679.12	2.54723781457365	7.46486388404111	351.377073968019	2.74674443111044e-78	5.91609511255031e-75
ENSG00000159403.11	ENSG00000159403.11	2.52903405268453	0.832012744157084	56.7255003272701	5.04565002667296e-14	3.45395075832682e-12
ENSG00000132965.9	ENSG00000132965.9	2.51491211238177	-1.02389039011455	14.2657319007357	0.000158804632791616	0.00251766293228096
ENSG00000140853.15	ENSG00000140853.15	2.5142345108884	1.15618023482282	68.2284105849463	1.47065129912853e-16	1.29666723023163e-14
ENSG00000068079.7	ENSG00000068079.7	2.49359887975782	3.74831245450057	192.897516384826	8.01115639881139e-44	4.47348907499553e-41
ENSG00000021300.13	ENSG00000021300.13	2.47569810242217	4.82150498477083	249.046167730533	4.77075424990095e-56	5.04762539128116e-53
ENSG00000144290.16	ENSG00000144290.16	2.46813436657234	5.5694599151855	281.52355249941	4.12408826466001e-63	5.18157323052325e-60
ENSG00000119699.7	ENSG00000119699.7	2.46400974073541	5.79379407985596	289.331557167144	8.27862939363069e-65	1.16108739876995e-61
ENSG00000136883.12	ENSG00000136883.12	2.45784323862165	5.35549833862054	271.679049037469	5.69902232724338e-61	6.73914977473321e-58
ENSG00000100031.18	ENSG00000100031.18	2.43291609796854	2.21318750031432	106.409253531972	6.14273816685797e-25	1.11920318237725e-22
ENSG00000073910.19	ENSG00000073910.19	2.41170034811957	2.79347355229258	132.214912748909	1.39294036296879e-30	3.75024318794294e-28
