"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-AA-3712-11A"	0	0	0	0	1.1434760926636	0
"TCGA-AA-3712-01A"	0	0	0.945583671969975	0	0	0
"TCGA-AA-3713-11A"	0	0	0	0	0.843128019872312	0
"TCGA-AA-3713-01A"	0	0	0	0.96180057017453	0	0
"TCGA-AA-A01P-01A"	0	0	0	0	0	2.17595096592296
"TCGA-AA-A01X-01A"	0	0.678528063504647	0	0	0	0
"TCGA-AA-A01Z-01A"	0	0	0	0.391693969764767	0	0
"TCGA-AA-A02K-01A"	0	0	0	0	0.571167712900165	0
"TCGA-AA-A02Y-01A"	0	0	0	0	0	0.740790252327989
"TCGA-AD-5900-01A"	0	0	0	1.0770001051845	0	0
"TCGA-AD-6548-01A"	0	0	0	1.31618361914985	0	0
"TCGA-AD-6888-01A"	0	0	0	0.589616514105735	0	0
"TCGA-AD-6889-01A"	0	0	0	0.823233216409908	0	0
"TCGA-AD-6890-01A"	0	0	0.827529847780058	0	0	0
"TCGA-AD-6895-01A"	0	0	0	1.34462815327206	0	0
"TCGA-AD-6899-01A"	0	0	0	0	0	1.40203216335768
"TCGA-AD-6901-01A"	0	0	1.29560040729823	0	0	0
"TCGA-AD-6963-01A"	0	0	0	0	0	0.758457208782904
"TCGA-AD-6964-01A"	0	0	0	0	1.7640393545104	0
"TCGA-AD-6965-01A"	0	0.610978382685145	0	0	0	0
"TCGA-AD-A5EJ-01A"	0	0	0	0.892194260019284	0	0
"TCGA-AD-A5EK-01A"	0	0.486606037419096	0	0	0	0
"TCGA-AM-5820-01A"	0	0	0	0	0.684864848793768	0
"TCGA-AM-5821-01A"	0	0	0	1.83631213475887	0	0
"TCGA-AU-3779-01A"	0	0	0	1.04425872993526	0	0
"TCGA-AU-6004-01A"	0	0	0	0	0	1.50010889476492
"TCGA-AY-5543-01A"	0	0	0	0	0	0.889268285932765
"TCGA-AY-6196-01A"	3.17651065999172	0	0	0	0	0
"TCGA-AY-6197-01A"	0	0	0	0.921114928395265	0	0
"TCGA-AY-6386-01A"	0	0	0	0.828926662161427	0	0
"TCGA-AY-A54L-01A"	0	0	0	0.508977120375169	0	0
"TCGA-AY-A69D-01A"	0	0	0.757115916601001	0	0	0
"TCGA-AY-A71X-01A"	0	0.504420633505742	0	0	0	0
"TCGA-AY-A8YK-01A"	0	0	0.633707820528006	0	0	0
"TCGA-AZ-4313-01A"	0	0	0	0.487960497035558	0	0
"TCGA-AZ-4315-01A"	0	0	0	0.713145077811327	0	0
"TCGA-AZ-4323-01A"	1.55249917016357	0	0	0	0	0
"TCGA-AZ-4614-01A"	0	0.465262011606691	0	0	0	0
"TCGA-AZ-4615-01A"	0	0	0	0	0	1.63590315374182
"TCGA-AZ-4616-01A"	1.02586362697168	0	0	0	0	0
"TCGA-AZ-4682-01B"	0	0	0	0.506934835191558	0	0
"TCGA-AZ-4684-01A"	0	0	0	1.07570868028419	0	0
"TCGA-AZ-5403-01A"	0	0	0.917807269998255	0	0	0
"TCGA-AZ-5407-01A"	0	0.537119433350483	0	0	0	0
"TCGA-AZ-6598-11A"	0	1.03323010752708	0	0	0	0
"TCGA-AZ-6598-01A"	0	0	0	0	0.839945560231443	0
"TCGA-AZ-6599-11A"	0	0	0	0	1.16929467596207	0
"TCGA-AZ-6599-01A"	0	0.56107080921358	0	0	0	0
"TCGA-AZ-6600-11A"	0	1.22976876249981	0	0	0	0
"TCGA-AZ-6600-01A"	0	1.21290326864228	0	0	0	0
"TCGA-AZ-6601-11A"	0	1.02894464043529	0	0	0	0
"TCGA-AZ-6601-01A"	0	0	0	0	0	1.13496185611008
"TCGA-AZ-6603-11A"	0	0	0	0	1.3792876713865	0
"TCGA-AZ-6603-01A"	0	0	0.92521446427539	0	0	0
"TCGA-AZ-6605-11A"	0	1.18221544843256	0	0	0	0
"TCGA-AZ-6605-01A"	0	0	1.63240924442137	0	0	0
"TCGA-AZ-6606-01A"	0	0	0	0.700595824576045	0	0
"TCGA-AZ-6607-01A"	0	0	3.09691695991422	0	0	0
"TCGA-AZ-6608-01A"	0	0.359954695589832	0	0	0	0
"TCGA-CA-5254-01A"	0.828308638318169	0	0	0	0	0
"TCGA-CA-5255-01A"	0	0	0	0	0	0.74841178363528
"TCGA-CA-5256-01A"	0	0	0	0	0.468488631161527	0
"TCGA-CA-5796-01A"	0	0	0	0.78834085820025	0	0
"TCGA-CA-5797-01A"	0	0	0	0	0.821104270873807	0
"TCGA-CA-6715-01A"	0	0	0.485761108393667	0	0	0
"TCGA-CA-6716-01A"	0	0.584321275272729	0	0	0	0
"TCGA-CA-6717-01A"	0	0	0	0	1.26207688316111	0
"TCGA-CA-6718-01A"	0	0	0	0	0	1.73291665066598
"TCGA-CA-6719-01A"	0	0	0	0	1.18313436324839	0
"TCGA-CK-4947-01B"	0	0	0	0	1.078077743099	0
"TCGA-CK-4948-01B"	0	0.445975309574705	0	0.471961227770906	0	0
"TCGA-CK-4950-01A"	0	0	0	0.989873338312676	0	0
"TCGA-CK-4951-01A"	0	0	0	1.48243661415001	0	0
"TCGA-CK-4952-01A"	0	0	0	0.745759833062695	0	0
"TCGA-CK-5912-01A"	0	0	0.638461734269261	0	0	0
"TCGA-CK-5913-01A"	0	0	0	1.22450075637962	0	0
"TCGA-CK-5914-01A"	0	0	0.701672286176774	0	0	0
"TCGA-CK-5915-01A"	0	0	0.581728297546712	0	0	0
"TCGA-CK-5916-01A"	0	0	0	0	1.28313752182029	0
"TCGA-CK-6746-01A"	0	0	0	0	1.21848381640196	0
"TCGA-CK-6747-01A"	0.84625595693966	0	0	0	0	0
"TCGA-CK-6748-01A"	0	0	0	0	0	1.34380664597476
"TCGA-CK-6751-01A"	0	0	0.848660627951963	0	0	0
"TCGA-CM-4743-01A"	1.57057633404192	0	0	0	0	0
"TCGA-CM-4744-01A"	0	0	0	0	0	0.70541016325546
"TCGA-CM-4747-01A"	0	0	0.762804792584367	0	0	0
"TCGA-CM-4751-01A"	1.2540888935963	0	0	0	0	0
"TCGA-CM-5344-01A"	0	0	0.960589371619947	0	0	0
"TCGA-CM-5348-01A"	0	0	0	0	0	1.47719660694008
"TCGA-CM-5349-01A"	0	0	0	0	0	0.955807078006874
"TCGA-CM-5860-01A"	0	0	1.23516905528087	0	0	0
"TCGA-CM-5861-01A"	0	0	0	1.0360190382606	0	0
"TCGA-CM-5862-01A"	0	0	0	0.520952191108773	0	0
"TCGA-CM-5863-01A"	0	0	1.22157874982728	0	0	0
"TCGA-CM-5864-01A"	0	0	0	0.560091660353464	0	0
"TCGA-CM-5868-01A"	0	0.564545834425515	0.193525322312046	0	0	0
"TCGA-CM-6161-01A"	0	0	0	0	0.834535432293953	0
"TCGA-CM-6162-01A"	2.51483753936402	0	0	0	0	0
"TCGA-CM-6163-01A"	0	0	0	0.839746114104752	0	0
"TCGA-CM-6164-01A"	0	0	0.829623336676974	0	0	0
"TCGA-CM-6165-01A"	0	0	0	0	0.947845077618575	0
"TCGA-CM-6166-01A"	0	0	0	0	0.502983406355435	0
"TCGA-CM-6167-01A"	0	0	0	0	1.43633454989786	0
"TCGA-CM-6168-01A"	0	0	0	0	1.50755809069678	0
"TCGA-CM-6169-01A"	0	0	0	0	1.60051561706543	0
"TCGA-CM-6170-01A"	0	0	0	0.977012694204138	0	0
"TCGA-CM-6171-01A"	0	0	0	0.90294052562433	0	0
"TCGA-CM-6172-01A"	0	0	0.744749933922824	0	0	0
"TCGA-CM-6674-01A"	0	0	1.14395535499661	0	0	0
"TCGA-CM-6675-01A"	0	0	0.916913918647366	0	0	0
"TCGA-CM-6676-01A"	0	0	0.709989039423332	0	0	0
"TCGA-CM-6677-01A"	0	0	0	0	0.713156377385515	0
"TCGA-CM-6678-01A"	0	0	0.653880744815769	0	0	0
"TCGA-CM-6679-01A"	0	0	1.21137920122333	0	0	0
"TCGA-CM-6680-01A"	0	1.14507700779261	0	0	0	0
"TCGA-D5-5537-01A"	0	0	0.772902292093664	0	0	0
"TCGA-D5-5538-01A"	0	0	0	1.37301905035734	0	0
"TCGA-D5-5539-01A"	0	0	0	0	1.06824033912638	0
"TCGA-D5-5540-01A"	0	0	0	0.414772082705642	0	0
"TCGA-D5-5541-01A"	0	0	0	0	0.853446480585357	0
"TCGA-D5-6529-01A"	0	0	0	1.39154387785191	0	0
"TCGA-D5-6530-01A"	0	0	0	1.11163901963407	0	0
"TCGA-D5-6531-01A"	0	0.995000415932004	0	0	0	0
"TCGA-D5-6532-01A"	0	0	0	0	0.525399997946879	0
"TCGA-D5-6533-01A"	0	0	0	0.687130098751453	0	0
"TCGA-D5-6534-01A"	0	0	0	0	2.4769920037577	0
"TCGA-D5-6535-01A"	0	0	0	0	0	1.05869861128629
"TCGA-D5-6536-01A"	0	0	0	1.23500337453648	0	0
"TCGA-D5-6537-01A"	0	0	0	0.612203281681719	0	0
"TCGA-D5-6538-01A"	0	0	0	0	0.418033266104109	0
"TCGA-D5-6539-01A"	0	0.8369940142638	0	0	0	0
"TCGA-D5-6540-01A"	0	0	0	1.26944021893021	0	0
"TCGA-D5-6541-01A"	0	0	0	0	1.44287635716762	0
"TCGA-D5-6898-01A"	0	0	0	0	0.973875589152653	0
"TCGA-D5-6920-01A"	0	0	0	1.12096549512235	0	0
"TCGA-D5-6922-01A"	0	0	1.036679768437	0	0	0
"TCGA-D5-6923-01A"	0	0	1.14026107582749	0	0	0
"TCGA-D5-6924-01A"	0	0	0	0	1.1757897852828	0
"TCGA-D5-6926-01A"	0	0	0	1.3258029897557	0	0
"TCGA-D5-6927-01A"	0	0	0	1.34246807117087	0	0
"TCGA-D5-6928-01A"	0	0	0	0	0	2.45846870177632
"TCGA-D5-6929-01A"	0	0	0	0	0.850976890522916	0
"TCGA-D5-6930-01A"	0	0	0	1.18854941662662	0	0
"TCGA-D5-6931-01A"	0	0	0	0	1.1014247771624	0
"TCGA-D5-6932-01A"	0	0	0	0.864256741795875	0	0
"TCGA-D5-7000-01A"	0	0	0	0.958534420252609	0	0
"TCGA-DM-A0X9-01A"	0	0.54858611075115	0	0	0	0
"TCGA-DM-A0XD-01A"	0	0	0.790319700913968	0	0	0
"TCGA-DM-A0XF-01A"	0	0	0	0	0.721687825155506	0
"TCGA-DM-A1D0-01A"	0	0	0.407753908103578	0	0	0
"TCGA-DM-A1D4-01A"	0	0	0	0.433329228353141	0	0
"TCGA-DM-A1D6-01A"	0	0.447887791379834	0	0	0	0
"TCGA-DM-A1D7-01A"	0	0	0.667250803648604	0	0	0
"TCGA-DM-A1D8-01A"	0	0.421942596740793	0	0	0	0
"TCGA-DM-A1D9-01A"	0	0	0.542577592994709	0	0	0
"TCGA-DM-A1DA-01A"	0	0.373462557751967	0	0	0	0
"TCGA-DM-A1DB-01A"	0	0.463008430277707	0	0	0	0
"TCGA-DM-A1HA-01A"	0	0	0.659256757480183	0	0	0
"TCGA-DM-A1HB-01A"	0	0	0	0.946947375555434	0	0
"TCGA-DM-A280-01A"	0	0	0	0.798646348805931	0	0
"TCGA-DM-A282-01A"	0	0	0	0	0.535371389445846	0
"TCGA-DM-A285-01A"	0	0	0.808217020536531	0	0	0
"TCGA-DM-A288-01A"	0	0	0	0.486246931167409	0	0
