"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-A2-A0YK-01A"	0	1.39381667536142	0	0	0	0
"TCGA-A2-A0YL-01A"	0	0	1.02975584812264	0	0	0
"TCGA-A2-A0YM-01A"	0	0	0	1.1547207133331	0	0
"TCGA-A2-A0YT-01A"	0	0	0	0	0.586703351450677	0
"TCGA-A2-A1FV-01A"	0	0	0	0	0.580905522599956	0
"TCGA-A2-A1FW-01A"	0	0	0	0	0.624218375743647	0
"TCGA-A2-A1FX-01A"	0	0	0	0	0.664933879114963	0
"TCGA-A2-A1FZ-01A"	0	0	0	0	1.0271366135607	0
"TCGA-A2-A1G0-01A"	0.960148405395834	0	0	0	0	0
"TCGA-A2-A1G1-01A"	0	0	0	1.4269733181533	0	0
"TCGA-A2-A1G4-01A"	0	0	0	0	0.725126360888513	0
"TCGA-A2-A1G6-01A"	0	0	0	0	1.03575211634282	0
"TCGA-A2-A259-01A"	0	0	0	0.895999704457706	0	0
"TCGA-A2-A25A-01A"	0	0	1.20610986830339	0	0	0
"TCGA-A2-A25B-01A"	0	0	0	0	0	0.816537003460427
"TCGA-A2-A25C-01A"	0	0.749139527456969	0	0	0	0
"TCGA-A2-A25D-01A"	1.12796345237462	0	0	0	0	0
"TCGA-A2-A25E-01A"	0.610410521790599	0	0	0	0	0
"TCGA-A2-A25F-01A"	0	0	0	0	0	2.75726348388841
"TCGA-A2-A3KC-01A"	0.99392118161104	0	0	0	0	0
"TCGA-A2-A3KD-01A"	0	0	0	0	0.791870114602378	0
"TCGA-A2-A3XS-01A"	0	0.866406384875974	0	0	0	0
"TCGA-A2-A3XT-01A"	0	0	0	1.69256071944895	0	0
"TCGA-A2-A3XU-01A"	0	0	0	0	0	0.731884477402119
"TCGA-A2-A3XV-01A"	0	0	0	0.774734539521569	0	0
"TCGA-A2-A3XW-01A"	0	0	0	0	0	1.07780364148478
"TCGA-A2-A3XX-01A"	0	0.979346556003518	0	0	0	0
"TCGA-A2-A3XY-01A"	0	1.32764406706255	0	0	0	0
"TCGA-A2-A3XZ-01A"	0	0	0	1.2455424544945	0	0
"TCGA-A2-A3Y0-01A"	0	0	0	2.34681732628968	0	0
"TCGA-A2-A4RW-01A"	0	0.840803363918714	0	0	0	0
"TCGA-A2-A4RX-01A"	0	1.13571062967737	0	0	0	0
"TCGA-A2-A4RY-01A"	0	1.03611601609791	0	0	0	0
"TCGA-A2-A4S0-01A"	0	0	0	0	0.655170882400059	0
"TCGA-A2-A4S1-01A"	0	0	0	0	1.87626495182715	0
"TCGA-A2-A4S2-01A"	0	0.994523643732921	0	0	0	0
"TCGA-A2-A4S3-01A"	0	0	0	0	0	0.742982565705507
"TCGA-A7-A0CD-01A"	0	0	0.587426025063065	0	0	0
"TCGA-A7-A0CE-11A"	0	0	0	0	1.12886625054755	0
"TCGA-A7-A0CE-01A"	0	0	0	0.988794589629786	0	0
"TCGA-A7-A0CG-01A"	1.08760729315836	0	0	0	0	0
"TCGA-A7-A0CH-11A"	0	0	0	0	1.33430251921192	0
"TCGA-A7-A0CH-01A"	0	0	0.713683512206265	0	0	0
"TCGA-A7-A0CJ-01A"	0	0.520438199607555	0	0	0	0
"TCGA-A7-A0D9-11A"	0	0	1.56264235206567	0	0	0
"TCGA-A7-A0D9-01A"	0	0	0.658312539527548	0	0	0
"TCGA-A7-A0DA-01A"	0	0.951313652616388	0	0	0	0
"TCGA-A7-A0DB-11A"	0	0	0	0	1.79103958811933	0
"TCGA-A7-A0DB-01A"	0	0	0	0	1.01252091798343	0
"TCGA-A7-A13D-01A"	0	0	0	1.00440353511546	0	0
"TCGA-A7-A13E-11A"	0	0	0	0	1.27340495248517	0
"TCGA-A7-A13E-01A"	0	0	0.738932165862159	0	0	0
"TCGA-A7-A13F-11A"	0	0	1.29632300740059	0	0	0
"TCGA-A7-A13F-01A"	0	0	0	0	0.771127450208553	0
"TCGA-A7-A13G-11A"	0	1.23156974970334	0	0	0	0
"TCGA-A7-A13G-01A"	0	0	0.579112512379159	0	0	0
"TCGA-A7-A13H-01A"	0	0	0	0	0	1.26890406831585
"TCGA-A7-A26E-01A"	0	0	0	0	0.747442342363108	0
"TCGA-A7-A26F-01A"	0	0	0	1.74454770600276	0	0
"TCGA-A7-A26G-01A"	0	0	0	0	1.39703263703707	0
"TCGA-A7-A26H-01A"	0	0	0	0	0.860675874594269	0
"TCGA-A7-A26I-01A"	0	0	0	0	1.20709730161291	0
"TCGA-A7-A26J-01A"	0	0.736494660604326	0	0	0	0
